timestamp,signal,confidence,entry_price,stop_loss,take_profit,outcome,close_price,close_time,ta_summary,sentiment_summary,history_summary,decision_rationale,overrides,indicators,tp_adjustments,tp_adjustment_log
2026-04-02 21:16:49,Do Not Enter,35,,,,pending,,,RSI at neutral 55.16 with weak MACD momentum 0.46 and very low ADX 7.88 indicating no clear trend strength,Neutral sentiment with zero news flow provides no directional catalyst for price movement,No trading history to reference for pattern confirmation or momentum assessment,Extremely weak trend strength from ADX below 25 and lack of clear momentum makes this a low-probability setup unfit for disciplined day trading [OVERRIDDEN: Confidence 35% below 70% threshold],Confidence 35% below 70% threshold,RSI: 55.1626 | MACD: 0.4552 | ADX: 7.8756,0,
2026-04-02 21:21:57,Do Not Enter,35,,,,pending,,,"RSI at 47.14 shows neutral momentum, MACD at 0.2865 suggests weak bullish divergence, but ADX at 9.73 indicates extremely weak trend strength with no clear directional conviction.",Neutral news sentiment at 0.00 with no headlines provides no directional bias or catalyst for price movement.,No completed trade history available to assess recent performance patterns or validate strategy effectiveness.,"Confidence falls well below 70% threshold due to weak trend strength, neutral indicators, and lack of clear directional catalyst needed for high-probability day trading setup. [OVERRIDDEN: Confidence 35% below 70% threshold]",Confidence 35% below 70% threshold,RSI: 47.1471 | MACD: 0.2865 | ADX: 9.7363,0,
2026-04-02 21:26:59,Do Not Enter,35,,,,pending,,,"RSI at 40.14 shows mild oversold conditions but MACD at -0.46 indicates bearish momentum, while ADX at 15.89 signals very weak trend strength",Neutral news sentiment at 0.00 with no headlines provides no directional bias or catalyst,Limited trading history shows only cautious 35% confidence entries with no established win/loss pattern yet,Weak trend strength combined with conflicting momentum signals and neutral sentiment creates unclear setup below 70% confidence threshold [OVERRIDDEN: Confidence 35% below 70% threshold],Confidence 35% below 70% threshold,RSI: 40.1434 | MACD: -0.4643 | ADX: 15.8904,0,
2026-04-02 21:31:57,Buy,72,2049.72,2029.72,2089.72,pending,,,"RSI at 32.8 shows oversold conditions with potential bounce opportunity, while ADX at 23.7 indicates building momentum.",Neutral news sentiment provides no headwinds or tailwinds for the trade setup.,Previous conservative approach with three 'Do Not Enter' signals shows discipline in waiting for better setups.,Oversold RSI presents high-probability bounce opportunity with 2:1 reward-risk targeting 2% upside move.,,RSI: 32.7954 | MACD: -1.0768 | ADX: 23.6899,0,
2026-04-02 21:31:57,Buy,72,2049.72,2029.72,2069.72,pending,,,"RSI at 32.8 shows oversold conditions with potential bounce opportunity, while ADX at 23.7 indicates building momentum.",Neutral news sentiment provides no headwinds or tailwinds for the trade setup.,Previous conservative approach with three 'Do Not Enter' signals shows discipline in waiting for better setups.,Oversold RSI presents high-probability bounce opportunity with 1:1 reward-risk targeting a smaller quicker day-trade move.,,RSI: 32.7954 | MACD: -1.0768 | ADX: 23.6899,0,
2026-04-02 21:31:57,Buy,72,2049.72,2029.72,2069.72,L,2029.23,2026-04-05 05:34:55,"RSI at 32.8 shows oversold conditions with potential bounce opportunity, while ADX at 23.7 indicates building momentum.",Neutral news sentiment provides no headwinds or tailwinds for the trade setup.,Previous conservative approach with three 'Do Not Enter' signals shows discipline in waiting for better setups.,Oversold RSI presents high-probability bounce opportunity with 1:1 reward-risk targeting a smaller quicker day-trade move.,,RSI: 32.7954 | MACD: -1.0768 | ADX: 23.6899,0,
2026-04-05 05:37:55,Do Not Enter,25,,,,pending,,,RSI at 7.4 shows extreme oversold conditions but MACD at -2.97 indicates strong bearish momentum while ADX at 47.93 confirms a strong downtrend is active,Positive news sentiment at +0.72 provides some bullish bias but insufficient to counter the technical weakness,"Recent pattern shows that even high-confidence signals failed, emphasizing need for exceptional setups","Despite oversold RSI, the combination of deeply negative MACD and strong ADX downtrend creates too much uncertainty for a day trading entry [OVERRIDDEN: Confidence 25% below 70% threshold]",Confidence 25% below 70% threshold,RSI: 7.4053 | MACD: -2.9715 | ADX: 47.9331,0,
2026-04-05 05:42:54,Do Not Enter,25,,,,pending,,,RSI at extreme oversold 7.9 with MACD deeply negative at -3.79 shows strong downtrend despite high ADX momentum of 61.7,Positive news sentiment of +0.72 conflicts with extreme technical weakness creating mixed signals,"Recent pattern shows high confidence Buy signals resulted in losses, indicating need for extreme caution on bullish setups",Technical indicators too extreme and conflicting with sentiment while recent losses demand waiting for clearer high-probability setup [OVERRIDDEN: Confidence 25% below 70% threshold],Confidence 25% below 70% threshold,RSI: 7.9179 | MACD: -3.7946 | ADX: 61.6581,0,
2026-04-05 05:47:55,Do Not Enter,25,,,,pending,,,RSI at 16.72 shows extreme oversold conditions but MACD at -3.69 indicates strong bearish momentum with ADX at 71.82 confirming powerful downtrend strength.,Moderate positive news sentiment at +0.65 provides some support but insufficient to override technical weakness.,"Recent pattern shows high confidence signals still resulted in losses, demanding extra caution on entry decisions.","Despite oversold RSI, the combination of strong bearish MACD, powerful downtrend confirmation from ADX, and recent loss history keeps confidence well below 70% threshold. [OVERRIDDEN: Confidence 25% below 70% threshold]",Confidence 25% below 70% threshold,RSI: 16.7249 | MACD: -3.6879 | ADX: 71.8236,0,
2026-04-05 05:52:53,Do Not Enter,35,,,,pending,,,"RSI neutral at 45.94, MACD strongly bearish at -2.41, but ADX extremely high at 68.97 showing dangerous volatility conditions",Moderate positive news sentiment at +0.65 provides some bullish backdrop but insufficient to override technical concerns,"Recent pattern shows even high-confidence signals failing, emphasizing need for exceptional setups only","Conflicting signals with bearish MACD against neutral RSI, plus extreme ADX volatility creates unpredictable conditions unsuitable for disciplined day trading [OVERRIDDEN: Confidence 35% below 70% threshold]",Confidence 35% below 70% threshold,RSI: 45.9407 | MACD: -2.4097 | ADX: 68.9745,0,
2026-04-05 21:17:55,Do Not Enter,65,,,,pending,,,"RSI at 39 shows oversold territory but MACD at -1.09 indicates strong bearish momentum, while weak ADX at 19.96 shows no clear trend strength.",Positive news sentiment at +0.72 provides some bullish backdrop but may not be sufficient to overcome technical weakness.,"Recent high-confidence Buy resulted in loss, highlighting the importance of waiting for stronger technical confluence before entering.",Confidence below 70% threshold due to mixed signals - oversold RSI versus strong bearish MACD with weak trend strength creates too much uncertainty for day trading entry. [OVERRIDDEN: Confidence 65% below 70% threshold],Confidence 65% below 70% threshold,RSI: 39.0743 | MACD: -1.0926 | ADX: 19.9603,0,
2026-04-05 21:22:54,Do Not Enter,45,,,,pending,,,RSI at 38.67 shows oversold conditions but MACD at -1.22 indicates strong bearish momentum while ADX at 21.23 shows weak trend strength,Positive news sentiment at +0.75 provides some bullish bias but only 2 headlines limit conviction,"Recent high-confidence Buy resulted in loss while cautious Do Not Enter signals prevented further losses, reinforcing need for higher probability setups",Conflicting signals with weak trend strength and recent loss pattern demand waiting for clearer confluence above 70% confidence threshold [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 38.6774 | MACD: -1.2233 | ADX: 21.2312,0,
2026-04-05 21:27:55,Do Not Enter,45,,,,pending,,,"RSI at 47.28 shows neutral momentum, MACD at -0.87 indicates bearish divergence, and ADX at 18.55 signals weak trend strength with no clear directional bias.",Positive news sentiment at +0.75 provides some bullish backdrop but insufficient to overcome weak technical setup.,Recent loss on previous Buy signal with similar confidence level demonstrates need for stronger confluence before entering.,Weak trend strength and mixed indicators create low probability setup that fails to meet 70% confidence threshold for day trading entry. [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 47.2795 | MACD: -0.8705 | ADX: 18.5524,0,
2026-04-05 21:32:54,Do Not Enter,45,,,,pending,,,"RSI at 53.98 shows neutral momentum, MACD at -0.42 indicates bearish divergence, and ATR at 0.78 suggests moderate volatility without clear directional bias",Strong positive news sentiment at +0.75 provides bullish backdrop but only 2 headlines limit conviction,"Recent high-confidence trade resulted in loss, emphasizing need for stronger confluence before entry",Mixed technical signals with bearish MACD against positive sentiment create uncertainty below 70% confidence threshold required for entry [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 53.9821 | MACD: -0.4205 | ATR: 0.7771,0,
2026-04-05 21:37:53,Do Not Enter,25,,,,pending,,,"RSI at 77.20 indicates severely overbought conditions well above 70 threshold, signaling potential reversal risk",Strong positive sentiment (+0.75) supports bullish momentum but insufficient to overcome technical overbought signals,Recent pattern shows high-confidence avoidance saved capital while lower confidence trades resulted in losses,Overbought RSI creates high reversal risk that conflicts with day trading strategy requiring high-probability small wins [OVERRIDDEN: Confidence 25% below 70% threshold],Confidence 25% below 70% threshold,RSI: 77.1966 | MACD: 0.8279 | ATR: 1.1868,0,
2026-04-05 21:42:53,Do Not Enter,45,,,,pending,,,"RSI at 68.95 shows overbought conditions, MACD positive but ADX at 24.76 indicates weak trend strength",Strong positive sentiment at +0.85 suggests bullish bias but may indicate overextension,Recent pattern shows buy signals failing even at 72% confidence while avoiding trades preserved capital,Overbought RSI combined with weak trend strength and history of failed entries creates low-probability setup below 70% threshold [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 68.954 | MACD: 1.4788 | ADX: 24.7578,0,
2026-04-05 21:47:54,Do Not Enter,45,,,,pending,,,"RSI at neutral 53.84, MACD slightly positive at 1.20, but ADX weak at 23.84 indicates no strong trend momentum",Strong positive sentiment at +0.75 provides favorable backdrop but insufficient on its own,No historical trade data available to assess recent performance patterns,Weak trend strength (ADX <25) and neutral RSI create low-probability setup despite positive sentiment - waiting for clearer confluence [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 53.8436 | MACD: 1.2026 | ATR: 1.0219 | ADX: 23.8385,0,
2026-04-05 21:52:54,Do Not Enter,45,,,,pending,,,"RSI at 52.3 shows neutral momentum with no clear directional bias, MACD at 0.615 suggests weak bullish momentum but lacks conviction for day trading",Strong positive sentiment at +0.75 provides favorable backdrop but insufficient technical confirmation exists,Previous disciplined approach of avoiding low-conviction setups has prevented losses and preserved capital effectively,Technical indicators lack the clear confluence needed for high-probability day trading entry despite positive sentiment [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 52.2851 | MACD: 0.615 | ATR: 0.9559,0,
2026-04-05 21:57:54,Do Not Enter,45,,,,pending,,,"RSI at neutral 50.78 shows no momentum edge, MACD barely positive at 0.43, and ADX at 20.92 indicates weak trend strength below the 25 threshold for trending markets",Strong positive sentiment at +0.75 provides supportive backdrop but insufficient technical confirmation for entry,"All recent signals have been 'Do Not Enter' with low confidence 25-65%, confirming current challenging market conditions for day trading setups",Technical indicators lack the confluence and momentum strength required for high-probability day trading entry despite positive sentiment [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 50.7802 | MACD: 0.4316 | ADX: 20.916,0,
2026-04-05 22:02:56,Do Not Enter,35,,,,pending,,,"RSI at 48.5 shows neutral momentum, MACD at 0.14 indicates weak bullish divergence, but ADX at 18.2 signals very weak trend strength",Strong positive sentiment at +0.75 provides bullish backdrop but only 2 headlines indicate limited market coverage,Recent pattern of all 'Do Not Enter' signals with low confidence suggests continued market uncertainty and lack of clear directional bias,Weak trend strength from ADX and neutral RSI create insufficient confluence for high-probability day trading setup despite positive sentiment [OVERRIDDEN: Confidence 35% below 70% threshold],Confidence 35% below 70% threshold,RSI: 48.538 | MACD: 0.1381 | ADX: 18.1901,0,
2026-04-05 22:07:55,Do Not Enter,45,,,,pending,,,"RSI at 47.8 shows neutral momentum, MACD at -0.0544 indicates weak bearish pressure, and ADX at 14.5 confirms no trend strength exists",Strong positive sentiment at +0.85 provides bullish backdrop but insufficient to overcome weak technical setup,Previous disciplined approach of avoiding low-confidence setups has protected capital from unfavorable conditions,"Without trend strength (ADX <25) and mixed momentum signals, probability of capturing targeted 0.5-1.5% move is too low for entry [OVERRIDDEN: Confidence 45% below 70% threshold]",Confidence 45% below 70% threshold,RSI: 47.796 | MACD: -0.0544 | ADX: 14.5442,0,
2026-04-05 22:12:54,Do Not Enter,45,,,,pending,,,"RSI neutral at 50.32, MACD barely negative at -0.0031, and ADX very weak at 11.78 indicating no clear directional momentum.",Strong positive news sentiment at +0.75 provides bullish backdrop but insufficient headlines (only 2) for conviction.,Consistent 45% confidence signals with no executed trades suggests prolonged sideways/choppy market conditions.,Extremely weak trend strength (ADX 11.78) combined with neutral momentum indicators creates low-probability setup despite positive sentiment. [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 50.3157 | MACD: -0.0031 | ATR: 0.7435 | ADX: 11.7825,0,
2026-04-05 22:17:55,Do Not Enter,35,,,,pending,,,"RSI at 58.78 shows neutral momentum, MACD at 0.25 indicates weak bullish divergence, but ADX at 15.36 reveals very weak trend strength with no clear directional conviction",Strong positive sentiment at +0.75 provides bullish backdrop but only 2 headlines suggest limited market attention,"Previous signals correctly avoided entries during uncertain conditions, maintaining capital preservation discipline","ADX below 25 indicates choppy, trendless market conditions where day trading setups lack the momentum needed for reliable 0.5-1.5% moves [OVERRIDDEN: Confidence 35% below 70% threshold]",Confidence 35% below 70% threshold,RSI: 58.7824 | MACD: 0.2515 | ADX: 15.3561,0,
2026-04-05 22:22:55,Do Not Enter,35,,,,pending,,,"RSI at 58.9 shows neutral momentum, weak MACD at 0.41 lacks conviction, and ADX at 21.9 indicates no strong trend present.","Strong positive sentiment at +0.85 is encouraging but only supported by 2 headlines, creating limited conviction.","Previous cautious approach prevented losses, maintaining discipline with low-confidence setups.",Weak technical signals with low ADX trend strength fail to meet the 70% confidence threshold despite positive sentiment. [OVERRIDDEN: Confidence 35% below 70% threshold],Confidence 35% below 70% threshold,RSI: 58.9377 | MACD: 0.4073 | ADX: 21.9251,0,
2026-04-05 22:27:54,Do Not Enter,45,,,,pending,,,"RSI at 49.59 shows neutral momentum, MACD at 0.1267 indicates weak bullish divergence, but ATR at 1.07 suggests limited volatility for day trading targets.",Strong positive sentiment at +0.75 provides favorable backdrop but only 2 headlines limit conviction in sentiment stability.,No trade history exists yet to establish pattern recognition or validate strategy effectiveness in current market conditions.,Neutral technical setup with weak momentum signals fails to meet 70% confidence threshold required for day trading execution despite positive sentiment. [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 49.5929 | MACD: 0.1267 | ATR: 1.0695,0,
2026-04-05 22:32:54,Do Not Enter,45,,,,pending,,,"RSI at 49.23 shows neutral momentum, MACD at -0.018 indicates weak bearish divergence, and ATR at 1.13 suggests moderate volatility.",Strong positive sentiment at +0.75 provides bullish backdrop but sample size of only 2 headlines limits reliability.,"No trade history available as all previous signals stayed below entry threshold, indicating challenging market conditions for day trading setups.",Neutral RSI and weak MACD signal lack the clear confluence needed for high-probability day trading entry despite positive sentiment. [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 49.2285 | MACD: -0.018 | ATR: 1.1292,0,
2026-04-05 22:37:55,Do Not Enter,35,,,,pending,,,"RSI at 47.32 shows neutral momentum, MACD at -0.0773 indicates weak bearish divergence, and ADX at 12.90 signals extremely low trend strength",Strong positive news sentiment at +0.75 provides bullish backdrop but insufficient to overcome weak technical setup,No trade history available as all previous signals were rejected due to low confidence levels similar to current conditions,"Confidence below 70% threshold due to conflicting neutral RSI, weak bearish MACD, and critically low ADX indicating no clear directional momentum for day trading [OVERRIDDEN: Confidence 35% below 70% threshold]",Confidence 35% below 70% threshold,RSI: 47.3235 | MACD: -0.0773 | ADX: 12.9025,0,
2026-04-05 22:42:54,Do Not Enter,45,,,,pending,,,"RSI at 43.55 shows neutral territory, MACD at -0.25 indicates weak bearish momentum, and ADX at 13.37 signals extremely weak trend strength.",Strong positive sentiment at +0.75 provides bullish bias but with only 2 headlines the sample size is too small for reliable conviction.,"Previous cautious approach with no entries shows discipline in avoiding low-probability setups, maintaining capital preservation.","Without clear directional conviction from weak trend strength and conflicting momentum signals, this setup fails to meet the 70% confidence threshold required for day trading entry. [OVERRIDDEN: Confidence 45% below 70% threshold]",Confidence 45% below 70% threshold,RSI: 43.5473 | MACD: -0.2523 | ADX: 13.3715,0,
2026-04-05 22:47:54,Do Not Enter,45,,,,pending,,,"RSI at 48.76 shows neutral momentum, MACD at -0.0902 indicates weak bearish divergence, and ATR at 0.91 suggests moderate volatility without clear directional bias.",Strong positive news sentiment at +0.75 provides bullish backdrop but only 2 headlines limit conviction in sentiment reliability.,"Recent pattern shows all signals as 'Do Not Enter' with low confidence 35-45%, indicating challenging market conditions for high-probability setups.","Despite positive sentiment, neutral technical indicators and recent poor signal quality fail to meet the 70% confidence threshold required for day trading execution. [OVERRIDDEN: Confidence 45% below 70% threshold]",Confidence 45% below 70% threshold,RSI: 48.7584 | MACD: -0.0902 | ATR: 0.9075,0,
2026-04-05 22:52:55,Do Not Enter,35,,,,pending,,,"RSI at 44.83 shows neutral momentum, MACD at -0.40 indicates bearish divergence, and ADX at 15.11 signals weak trend strength with no clear direction.",Positive news sentiment at +0.75 provides bullish backdrop but limited headline coverage reduces conviction.,"Recent pattern shows consistent avoidance of poor setups, maintaining disciplined approach during unfavorable conditions.",Weak trend strength and conflicting momentum indicators create insufficient confluence for high-probability day trading entry despite positive sentiment. [OVERRIDDEN: Confidence 35% below 70% threshold],Confidence 35% below 70% threshold,RSI: 44.8305 | MACD: -0.4016 | ADX: 15.1123,0,
2026-04-05 22:57:54,Do Not Enter,45,,,,pending,,,"RSI at neutral 53.3 shows no momentum bias, MACD negative at -0.1484 suggests weak bearish pressure, ADX extremely low at 13.3 indicates no trend strength.",Strong positive news sentiment at +0.75 provides bullish backdrop but limited headlines reduce conviction.,No completed trade history available with all recent signals showing consistently low confidence below entry threshold.,Confidence below 70% threshold due to conflicting weak technical signals and extremely low trend strength despite positive sentiment. [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 53.2765 | MACD: -0.1484 | ADX: 13.2727,0,
2026-04-05 23:02:54,Do Not Enter,35,,,,pending,,,"RSI at 40.75 suggests weak momentum, MACD at -0.0685 shows bearish divergence, and ADX at 11.61 indicates extremely weak trend strength",Strong positive sentiment at +0.75 provides bullish backdrop but insufficient to overcome weak technical setup,No trade history available for pattern analysis as all previous signals were rejected due to low confidence,Extremely weak trend strength (ADX 11.61) creates unpredictable price action unsuitable for disciplined day trading despite positive sentiment [OVERRIDDEN: Confidence 35% below 70% threshold],Confidence 35% below 70% threshold,RSI: 40.7463 | MACD: -0.0685 | ADX: 11.6114,0,
2026-04-05 23:07:54,Do Not Enter,45,,,,pending,,,"RSI at 61.18 shows neutral momentum, MACD barely positive at 0.063, and ADX at 16.38 indicates weak trend strength with no clear directional conviction.",Strong positive sentiment at +0.75 provides bullish backdrop but limited headline coverage reduces conviction.,Previous cautious approach with 35-45% confidence signals shows market has been offering low-probability setups recently.,Weak trend strength and neutral momentum fail to provide the high-probability confluence needed for disciplined day trading despite positive sentiment. [OVERRIDDEN: Confidence 45% below 70% threshold],Confidence 45% below 70% threshold,RSI: 61.1773 | MACD: 0.063 | ADX: 16.384,0,
2026-04-05 23:12:54,Do Not Enter,65,,,,pending,,,RSI at 70.85 shows overbought conditions with MACD positive but ADX at 25.67 indicates weak trend strength,Strong positive sentiment at +0.75 supports bullish bias but technical conditions suggest pullback risk,No trade history available as all previous signals were rejected due to insufficient confidence levels,Overbought RSI combined with weak trend strength creates poor risk/reward for day trading despite positive sentiment [OVERRIDDEN: Confidence 65% below 70% threshold],Confidence 65% below 70% threshold,RSI: 70.8515 | MACD: 1.3944 | ADX: 25.6693,0,
2026-04-05 23:17:59,Do Not Enter,65,,,,pending,,,"RSI at 57.1 shows neutral momentum, MACD at 1.39 indicates bullish divergence, but ADX at 28.2 suggests weakening trend strength",Strong positive news sentiment at +0.75 provides bullish backdrop but only 2 headlines limit conviction,"Recent pattern shows all signals avoided due to low confidence, indicating current market uncertainty continues","While sentiment is positive and MACD bullish, the combination of neutral RSI and declining trend strength creates insufficient confluence for high-probability day trade entry [OVERRIDDEN: Confidence 65% below 70% threshold]",Confidence 65% below 70% threshold,RSI: 57.1288 | MACD: 1.3924 | ADX: 28.1589,0,
